,MMSI,duration_max,duration_min,max_accel,min_accel,max_rot,min_rot,target
123,256930000,5928.0,3169.0,3.561253561253549e-07,-9.077705156136496e-08,1.453287197231834,0.0,0.0
124,256938000,12859.0,516.0,1.2626262626262656e-06,-9.803921568627474e-07,11.999999999999998,0.0,0.0
125,256985000,16434.0,857.0,1.543209876543177e-06,-1.3661202185792382e-06,3.6363636363636362,0.0,0.0
126,256989000,2539542.0,78.0,8.547008547008517e-07,-5.555555555555437e-06,5.454545454545454,0.0,0.0
127,257179000,11867.0,355.0,9.25925925925931e-06,-3.64298724954463e-06,50.0,0.0,0.0
128,257394000,1591.0,139.0,1.2756729174639576e-07,-3.9682539682539545e-07,1.7142857142857142,0.0,0.0
129,257501000,20410.0,1990.0,4.166666666666668e-06,-6.006006006006007e-06,45.549295774647916,0.0,0.0
130,257864000,9384.0,0.0,3.47222222222222e-06,-2.946127946127943e-06,6.0,0.0,0.0
131,257891000,10331.0,880.0,4.0257648953300985e-07,-4.0257648953300985e-07,2.5714285714285645,0.0,0.0
132,258028000,25490.0,850.0,2.8594771241830073e-06,-3.220611916264086e-06,11.294117647058833,0.0,0.0
133,258444000,13371.0,1110.0,3.5211267605633817e-06,-1.010101010101011e-05,8.181818181818182,0.0,0.0
134,258599000,22900.0,1999.0,2.7777777777777677e-06,-1.984126984126984e-06,5.454545454545454,0.0,0.0
135,258640000,427691.0,1834.0,2.136752136752137e-06,-1.0822510822510847e-06,3.6363636363636362,0.0,0.0
136,258775000,6212.0,0.0,8.051529790660269e-07,-9.107468123861534e-07,1.7142857142857142,0.0,0.0
137,259291000,492732.0,0.0,3.08641975308642e-06,-1.1904761904761903e-05,3.0909090909090957,0.0,0.0
138,259781000,8826.0,2232.0,4.738562091503267e-06,-1.3932887480933944e-06,6.000000000000024,0.0,0.0
139,259786000,12287.0,209.0,9.107468123861695e-07,-1.322751322751318e-06,3.8181818181818334,0.0,0.0
140,259895000,5694.0,5694.0,3.4722222222222716e-07,-3.3738191632928356e-07,0.7868852459016504,0.022598870056497498,0.0
141,259928000,19173.0,872.0,9.259259259259227e-07,-4.6296296296296135e-06,9.000000000000341,0.0,0.0
142,266338000,17255.0,204.0,7.936507936507909e-06,-1.7676767676767703e-05,18.857142857143003,0.0,0.0
143,266339000,7229.0,963.0,2.9914529914529885e-06,-7.1548821548821596e-06,5.114754098360644,0.07792207792209564,0.0
144,303273000,172870.0,580.0,2.777777777777776e-05,-3.3068783068783064e-05,255.77142857142854,0.0,0.0
145,303281000,21281.0,4471.0,1.010101010101011e-05,-2.402402402402402e-05,100.26,0.0,0.0
146,303284000,12861.0,10110.0,2.7777777777778173e-06,-1.1111111111111122e-05,2.399999999999863,0.0,0.0
147,303656000,12632.0,2669.0,4.553734061930767e-07,-3.9682539682539545e-07,1.0285714285714431,0.0,0.0
148,303852000,138593.0,0.0,1.6666666666666657e-05,-1.8115942028985507e-05,131.69620253164558,0.0,0.0
149,303981000,3795.0,3795.0,1.3468013468013463e-05,-3.9123630672926465e-06,20.347826086956502,0.06741573033707841,0.0
150,304414000,8330.0,740.0,1.3888888888888839e-06,-1.2254901960784342e-06,2.294117647058831,0.0,0.0
151,304577000,12102.0,486.0,4.629629629629695e-06,-2.3148148148148067e-06,15.0,0.0,0.0
152,305222000,20500.0,922.0,1.5873015873015888e-06,-3.0864197530864636e-06,8.300000000000011,0.0,0.0
